Date,Close,High,Low,Open,Volume,Market_Label,GDP Growth,CPI,Interest Rate,M2 Money Supply,PPI,Unemployment Rate
2015-12-18,171.51539611816406,174.01068560438404,171.35247069418085,173.87349695433073,251393500,1,18435.137,0.6387247515364791,2.19,12330.1,-6.852791878172592,5.0
2015-12-21,172.93023681640625,173.11031571307814,171.57539924366154,172.7072938301102,99094300,1,18435.137,0.6387247515364791,2.2,12379.5,-6.852791878172592,5.0
2015-12-22,174.49949645996094,174.79962367775644,172.82739087978047,173.83065422788874,111026200,1,18435.137,0.6387247515364791,2.24,12379.5,-6.852791878172592,5.0
2015-12-23,176.66030883789062,176.70318600701586,175.42551963902375,175.51984417738927,110987200,1,18435.137,0.6387247515364791,2.27,12379.5,-6.852791878172592,5.0
2015-12-24,176.36878967285156,176.9261668221816,176.14584666368623,176.4030966492018,48539600,1,18435.137,0.6387247515364791,2.25,12379.5,-6.852791878172592,5.0
2015-12-28,175.96578979492188,176.0086538911261,174.87677221519868,175.66566261582165,65899900,1,18435.137,0.6387247515364791,2.24,12377.9,-6.852791878172592,5.0
2015-12-29,177.84368896484375,178.17811004579968,177.04622834267144,177.08052223731465,92640700,1,18435.137,0.6387247515364791,2.32,12377.9,-6.852791878172592,5.0
2015-12-30,176.5831298828125,177.6807304906803,176.437357970928,177.59497614991278,63317700,1,18435.137,0.6387247515364791,2.31,12377.9,-6.852791878172592,5.0
2015-12-31,174.81674194335938,176.5488779814277,174.81674194335938,175.89718932315532,114877900,1,18435.137,0.6387247515364791,2.27,12377.9,-6.852791878172592,5.0
2016-01-04,172.3728790283203,172.3814492296991,170.28916867690762,171.91840975398344,222353500,1,18435.137,0.6387247515364791,2.24,12364.2,-6.852791878172592,5.0
2016-01-05,172.6644287109375,173.12746820227264,171.5411173314098,172.69872260188637,110845800,1,18435.137,0.6387247515364791,2.25,12364.2,-6.852791878172592,5.0
2016-01-06,170.48641967773438,171.54970047295745,169.44027928713996,170.07481444963673,152112600,1,18435.137,0.6387247515364791,2.18,12364.2,-6.852791878172592,5.0
2016-01-07,166.3961639404297,169.30305847960392,166.00171224565733,167.49375158986982,213436100,1,18435.137,0.6387247515364791,2.16,12364.2,-6.852791878172592,5.0
2016-01-08,164.5697021484375,167.9396492170275,164.27815829374777,167.37370191019912,209817200,1,18435.137,0.6387247515364791,2.13,12364.2,-6.852791878172592,5.0
2016-01-11,164.73265075683594,165.8473920406195,162.76900147756106,165.50438767715147,187941300,1,18435.137,0.6387247515364791,2.17,12464.1,-6.852791878172592,5.0
2016-01-12,166.061767578125,166.82493430844448,163.90088584789726,166.19896932575696,172330500,1,18435.137,0.6387247515364791,2.12,12464.1,-6.852791878172592,5.0
2016-01-13,161.92007446289062,167.09074565860692,161.5342060168762,166.73917110554302,221168900,-1,18435.137,0.6387247515364791,2.08,12464.1,-6.852791878172592,5.0
2016-01-14,164.5783233642578,165.71878853270147,160.91684439030172,162.53750266455728,240795600,1,18435.137,0.6387247515364791,2.1,12464.1,-6.852791878172592,5.0
2016-01-15,161.04544067382812,161.86005480064384,159.08179133300797,160.15365546941786,324846400,-1,18435.137,0.6387247515364791,2.03,12464.1,-6.852791878172592,5.0
