Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-04-23,178.19891357421875,178.85715818801566,177.22841547554447,177.34656161450894,102585900
2015-04-24,178.6123504638672,178.8824060367122,178.15664778088927,178.62079774861763,61327400
2015-04-27,177.8697509765625,179.3128204272497,177.6756436746185,179.18623990594747,79358100
2015-04-28,178.43515014648438,178.4857823506675,176.6545113299407,177.84441963608208,86863500
2015-04-29,177.70098876953125,178.3085882038387,176.88240031898712,177.53219755654192,125684900
2015-04-30,175.92034912109375,177.51532821423933,175.2114595087256,177.11869204341292,161304900
2015-05-01,177.82754516601562,177.86974296353551,176.61232070841828,176.7135851208981,103399700
2015-05-04,178.3339080810547,178.9246386654679,178.1482480578161,178.25794688830365,70927200
2015-05-05,176.2916259765625,178.45203208131755,176.14816377219663,178.0891464892491,113326200
2015-05-06,175.56585693359375,177.16083565478235,174.48566038574955,176.8485951630182,135060200
2015-05-07,176.26634216308594,176.69674173198396,175.1270787278563,175.46463540267357,88244900
2015-05-08,178.58706665039062,178.78960836664203,177.87818995895188,177.9625855599635,155877300
2015-05-11,177.7346954345703,178.81489197099143,177.65874713364033,178.54484927536538,75708100
2015-05-12,177.20309448242188,177.75164023011212,176.05538364540962,176.8908538831122,119727600
2015-05-13,177.23683166503906,178.24951451804122,177.0005394285706,177.61658612529473,94667900
2015-05-14,179.0849609375,179.17779093789895,177.98788262650126,178.26637262769813,95934000
2015-05-15,179.2790985107422,179.42256075008856,178.78963228869796,179.2790985107422,76510100
2015-05-18,179.83602905273438,180.08919006590483,179.04275687290976,179.11027076874154,74549700
2015-05-19,179.77696228027344,180.23267789012996,179.49003786041405,179.9541878789865,72114600
2015-05-20,179.650390625,180.40989950960633,179.32970280054107,179.8782355642056,76857500
2015-05-21,180.1736297607422,180.384605908003,179.33815958188296,179.50695080126133,64764600
2015-05-22,179.7432403564453,180.20737757187848,179.6757264451004,179.7854252836942,57433500
2015-05-26,177.81065368652344,179.67568806780469,177.3887014884648,179.245288584531,124308600
2015-05-27,179.4984893798828,179.73478161605163,177.86131254574096,178.27483039751695,93214000
2015-05-28,179.29592895507812,179.4056277673595,178.59548677946535,179.1862172658379,74974600
2015-05-29,178.1820068359375,179.27063804363135,177.91196407495116,179.22845311754335,124919600
2015-06-01,178.54490661621094,179.1947039021319,177.74318692572228,178.8571472049512,93338800
2015-06-02,178.36766052246094,179.06810282188877,177.447807682727,178.08073607506964,91531000
2015-06-03,178.84022521972656,179.47315354208274,178.34232469661004,178.9077391193464,87820900
2015-06-04,177.32968139648438,178.78963277921466,177.00899352120533,178.122953797251,151882800
2015-06-05,177.02581787109375,177.70937832951566,176.35912622814416,177.1777144720949,121704700
2015-06-08,175.937255859375,177.06809799277409,175.86130752356172,176.91618844418315,89063300
2015-06-09,175.911865234375,176.46041080692285,175.27050254201387,175.911865234375,105034700
2015-06-10,178.02166748046875,178.40986925074392,176.62923008281942,176.68829670703585,134551300
2015-06-11,178.59555053710938,178.98373947661034,178.23266483074445,178.46895710964856,73876400
2015-06-12,177.2283477783203,178.46888820207073,176.94985779778875,177.76001163905863,135382400
2015-06-15,176.46888732910156,176.7558117959774,175.35492710199028,176.0722511461418,124384200
2015-06-16,177.430908203125,177.51530379776298,176.13973544231493,176.3169481633109,85308200
2015-06-17,177.71783447265625,178.33389399061798,176.67983560798973,177.71783447265625,126708600
2015-06-18,179.5659637451172,180.0385481133881,177.7515745718717,178.3254233399269,165867900
2015-06-19,178.76881408691406,179.3963455416022,178.38721254186578,179.32002782051117,130478700
2015-06-22,179.68472290039062,180.2783269309646,179.47272053664295,179.7016867125777,70696000
2015-06-23,179.81192016601562,180.1511317137006,179.41336762433167,179.89672628783623,68476800
2015-06-24,178.50596618652344,179.9221402324964,178.48052694147447,179.54053861716642,92307300
2015-06-25,177.96327209472656,179.14200476828069,177.8869543461276,179.01480852061573,97107400
2015-06-26,177.92935180664062,178.57383434051536,177.36966245534026,178.3279043499754,104174800
2015-06-29,174.1980743408203,177.93779857713156,174.12175660691898,176.42834301074845,202621300
2015-06-30,174.562744140625,175.8093190221772,174.0793725606123,175.75842758775727,182925100
2015-07-01,175.9619140625,176.41135791626323,175.16478332123125,176.15695256102518,135979900
2015-07-02,175.80084228515625,176.61493707501103,175.37683754743136,176.4453377678406,104373700
2015-07-06,175.30047607421875,176.08911847866577,174.29134297981014,174.4948698614067,117975400
2015-07-07,176.40293884277344,176.53013509123454,173.0872186105082,175.5040508480535,173820200
2015-07-08,173.44337463378906,175.33443211538943,173.2059330190409,175.04611200313778,164020100
2015-07-09,173.7571258544922,175.83475929560024,173.64689342826463,175.57186550481904,144113100
2015-07-10,175.94497680664062,176.36898148282563,173.7995141803122,175.783852959355,129456900
2015-07-13,177.88693237304688,177.99716479420763,177.1830830305138,177.22548608769702,106069400
